case_id,supervisor,specialist,recommended_action,assigned_team,confidence,human_approval_required,rationale,execution_status
NET-P001-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
NET-P007-03,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
NET-P015-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
NET-P016-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
ORA-P001-07,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
ORA-P001-09,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
ORA-P006-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
ORA-P017-09,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
ORA-P018-01-DUP,Supervisor Agent,Data Quality Agent,RECOMMEND_ROUTE,Cash Application Data Steward,0.99,False,Repeated bank transaction identifier; preserve the first record and recommend quarantine to the data steward.,RECOMMENDATION_ONLY
SAP-P009-07,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
SAP-P012-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
SAP-P015-01-DUP,Supervisor Agent,Data Quality Agent,RECOMMEND_ROUTE,Cash Application Data Steward,0.99,False,Repeated bank transaction identifier; preserve the first record and recommend quarantine to the data steward.,RECOMMENDATION_ONLY
SAP-P016-09,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
NET-P001-03,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
NET-P001-09,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
NET-P003-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
NET-P004-03,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
NET-P012-01-DUP,Supervisor Agent,Data Quality Agent,RECOMMEND_ROUTE,Cash Application Data Steward,0.99,False,Repeated bank transaction identifier; preserve the first record and recommend quarantine to the data steward.,RECOMMENDATION_ONLY
NET-P013-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
ORA-P003-07,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
ORA-P012-07,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
SAP-P004-06,Supervisor Agent,Cash Application Agent,DRAFT_COLLECTION_ACTION,Cash Application Analyst,0.94,False,No deterministic invoice evidence; draft a remittance request before any posting recommendation.,RECOMMENDATION_ONLY
NET-P005-07,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
NET-P010-07,Supervisor Agent,Cash Application Agent,RETAIN_CUSTOMER_CREDIT,Customer Credit Analyst,0.96,True,Referenced invoice was cleared and the residual must remain unapplied until a human selects credit or refund treatment.,RECOMMENDATION_ONLY
